time_step,v_raw,v_float
8635, -4959,-1.210693
8645, -4981,-1.216064
8655, -5003,-1.221436
8665, -5024,-1.226562
8675, -5045,-1.231689
8685, -5065,-1.236572
8695, -5085,-1.241455
8705, -5104,-1.246094
8715, -5123,-1.250732
8725, -5142,-1.255371
8735, -5160,-1.259766
8745, -5178,-1.264160
8755, -5195,-1.268311
8765, -5212,-1.272461
8775, -5228,-1.276367
8785, -5244,-1.280273
8795, -5260,-1.284180
8805, -5275,-1.287842
8815, -5290,-1.291504
8825, -5305,-1.295166
8835, -5319,-1.298584
8845, -5333,-1.302002
8855, -5347,-1.305420
8865, -5360,-1.308594
8875, -5373,-1.311768
8885, -5385,-1.314697
8895, -5397,-1.317627
8905, -5409,-1.320557
8915, -5420,-1.323242
8925, -5431,-1.325928
8935, -5442,-1.328613
8945, -5453,-1.331299
8955, -5463,-1.333740
8965, -5473,-1.336182
8975, -5483,-1.338623
8985, -5492,-1.340820
8995, -5501,-1.343018
9005, -5510,-1.345215
9015, -5518,-1.347168
9025, -5526,-1.349121
9035, -5534,-1.351074
9045, -5542,-1.353027
9055, -5549,-1.354736
9065, -5556,-1.356445
9075, -5563,-1.358154
9085, -5570,-1.359863
9095, -5576,-1.361328
9105, -5582,-1.362793
9115, -5588,-1.364258
9125, -5594,-1.365723
9135, -5599,-1.366943
9145, -5604,-1.368164
9155, -5609,-1.369385
9165, -5614,-1.370605
9175, -5618,-1.371582
9185, -5622,-1.372559
9195, -5626,-1.373535
9205, -5630,-1.374512
9215, -5634,-1.375488
9225, -5637,-1.376221
9235, -5640,-1.376953
9245, -5643,-1.377686
9255, -5646,-1.378418
9265, -5649,-1.379150
9275, -5651,-1.379639
9285, -5653,-1.380127
9295, -5655,-1.380615
9305, -5657,-1.381104
9315, -5659,-1.381592
9325, -5659,-1.381592
9335, -5659,-1.381592
9345, -5659,-1.381592
9355, -5659,-1.381592
9365, -5659,-1.381592
9375, -5659,-1.381592
9385, -5659,-1.381592
9395, -5659,-1.381592
9405, -5659,-1.381592
9415, -5659,-1.381592
9425, -5659,-1.381592
9435, -5659,-1.381592
9445, -5659,-1.381592
9455, -5659,-1.381592
9465, -5659,-1.381592
9475, -5659,-1.381592
9485, -5659,-1.381592
9495, -5659,-1.381592
9505, -5658,-1.381348
9515, -5656,-1.380859
9525, -5654,-1.380371
9535, -5652,-1.379883
9545, -5650,-1.379395
9555, -5648,-1.378906
9565, -5646,-1.378418
9575, -5644,-1.377930
9585, -5641,-1.377197
9595, -5638,-1.376465
9605, -5635,-1.375732
9615, -5632,-1.375000
9625, -5629,-1.374268
9635, -5626,-1.373535
9645, -5623,-1.372803
9655, -5620,-1.372070
9665, -5617,-1.371338
9675, -5613,-1.370361
9685, -5609,-1.369385
9695, -5605,-1.368408
9705, -5601,-1.367432
9715, -5597,-1.366455
9725, -5593,-1.365479
9735, -5589,-1.364502
9745, -5585,-1.363525
9755, -5581,-1.362549
9765, -5577,-1.361572
9775, -5573,-1.360596
9785, -5568,-1.359375
9795, -5563,-1.358154
9805, -5558,-1.356934
9815, -5553,-1.355713
9825, -5548,-1.354492
9835, -5543,-1.353271
9845, -5538,-1.352051
9855, -5533,-1.350830
9865, -5528,-1.349609
9875, -5523,-1.348389
9885, -5518,-1.347168
9895, -5513,-1.345947
9905, -5508,-1.344727
9915, -5503,-1.343506
9925, -5497,-1.342041
9935, -5491,-1.340576
9945, -5485,-1.339111
9955, -5479,-1.337646
9965, -5473,-1.336182
9975, -5467,-1.334717
9985, -5461,-1.333252
9995, -5455,-1.331787
10005, -5449,-1.330322
10015, -5443,-1.328857
10025, -5437,-1.327393
10035, -5431,-1.325928
10045, -5425,-1.324463
10055, -5419,-1.322998
10065, -5413,-1.321533
10075, -5407,-1.320068
10085, -5401,-1.318604
10095, -5395,-1.317139
10105, -5389,-1.315674
10115, -5382,-1.313965
10125, -5375,-1.312256
10135, -5368,-1.310547
10145, -5361,-1.308838
10155, -5354,-1.307129
10165, -5347,-1.305420
10175, -5340,-1.303711
10185, -5333,-1.302002
10195, -5326,-1.300293
10205, -5319,-1.298584
10215, -5312,-1.296875
10225, -5305,-1.295166
10235, -5298,-1.293457
10245, -5291,-1.291748
10255, -5284,-1.290039
10265, -5277,-1.288330
10275, -5270,-1.286621
10285, -5263,-1.284912
10295, -5256,-1.283203
10305, -5249,-1.281494
